value_organisation_id,key,offset,partition,region,timestamp,document_event_document_created_expiry_end,document_event_document_created_expiry_start,document_event_document_info_document_id,document_event_document_info_document_type_id,document_event_document_info_document_version_id,document_event_document_info_subject_org_id,document_event_document_info_subject_user_id,document_event_requester_org_id,document_event_requester_user_id,document_event_document_renewed_expiry_end,document_event_document_renewed_expiry_start,event_datetime_utc,event_name,message_id,service_name,user_id,_batch_date,_timestamp,document_event_document_info_expiry_end,document_event_document_info_expiry_start,document_event_document_info_media_ids,document_event_operation
76918ec604e7742df8223e1eb36cb0b3d28f493479603c7bdba3a86bdc73e128,NDg0NGY0YWYtYjQ2ZS00NmVhLWIyMmYtMDNkNzJhYTVjYjc4,51598575,12,us-east-1,1708405246150,,,7e71d689bac7fa81b5b01aac3582272ff26cf582a8180ba12734106846e09296,a9295647229f681112928b6380c4cbe41ceaea8c024418c4405c51c1112f7e8a,,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,,,2024-02-20 05:00:46.150455+00,s12_protobuf_documents_documentevent,7e71d689bac7fa81b5b01aac3582272ff26cf582a8180ba12734106846e09296,api-user-documents,0dcdc1e1a783196a5361def45bc33c70373f07c2f9aca045291048cc45be2ac1,2024-02-20,2024-02-21 4:01:24,,,,DOCUMENT_DELETED
76918ec604e7742df8223e1eb36cb0b3d28f493479603c7bdba3a86bdc73e128,ZThjMGZjZWUtZjU1NC00MWFkLWE1MjItYTc3NWFjMDE1ODE0,51277457,5,us-east-1,1708405352479,,,88a55463e6e5137037db367060d7497ed9d95169dcde768f4a28d755f59836fd,553450ad09c8fa394d3bf25e6229bde3f9b83a3a35398012b5260e6b9c698d2d,78c5f652d236f0e6173886a07b740ea66af09c963cf59164c909a03a3da6341f,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,,,2024-02-20 05:02:32.433224+00,s12_protobuf_documents_documentevent,88a55463e6e5137037db367060d7497ed9d95169dcde768f4a28d755f59836fd,api-user-documents,0dcdc1e1a783196a5361def45bc33c70373f07c2f9aca045291048cc45be2ac1,2024-02-20,2024-02-21 4:01:24,,,[22205f70-d963-4ab3-8699-e122a18828a5],DOCUMENT_CREATED
76918ec604e7742df8223e1eb36cb0b3d28f493479603c7bdba3a86bdc73e128,ZThjMGZjZWUtZjU1NC00MWFkLWE1MjItYTc3NWFjMDE1ODE0,51277465,5,us-east-1,1708405355697,,,88a55463e6e5137037db367060d7497ed9d95169dcde768f4a28d755f59836fd,553450ad09c8fa394d3bf25e6229bde3f9b83a3a35398012b5260e6b9c698d2d,78c5f652d236f0e6173886a07b740ea66af09c963cf59164c909a03a3da6341f,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,,,2024-02-20 05:02:35.671165+00,s12_protobuf_documents_documentevent,88a55463e6e5137037db367060d7497ed9d95169dcde768f4a28d755f59836fd,api-user-documents,0dcdc1e1a783196a5361def45bc33c70373f07c2f9aca045291048cc45be2ac1,2024-02-20,2024-02-21 4:01:24,,,[22205f70-d963-4ab3-8699-e122a18828a5],MEDIA_DELETED_FROM_DOCUMENT
76918ec604e7742df8223e1eb36cb0b3d28f493479603c7bdba3a86bdc73e128,ZThjMGZjZWUtZjU1NC00MWFkLWE1MjItYTc3NWFjMDE1ODE0,51277466,5,us-east-1,1708405356512,,,88a55463e6e5137037db367060d7497ed9d95169dcde768f4a28d755f59836fd,553450ad09c8fa394d3bf25e6229bde3f9b83a3a35398012b5260e6b9c698d2d,,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,,,2024-02-20 05:02:36.512424+00,s12_protobuf_documents_documentevent,88a55463e6e5137037db367060d7497ed9d95169dcde768f4a28d755f59836fd,api-user-documents,0dcdc1e1a783196a5361def45bc33c70373f07c2f9aca045291048cc45be2ac1,2024-02-20,2024-02-21 4:01:24,,,,DOCUMENT_DELETED
36fd231312d75ea9133fccb0da97c59598f97c5dacba99e3fa5bc7d1655d1feb,NzkyZTFhMWMtOTRjYS00N2ZiLWIwMjUtMWU2Y2Q0NTA3YTZi,51294730,23,us-east-1,1708412196364,,,d0381fe6f67e643e1012b1fa70682a8afbb7e13f2ae8be682feed59e46ba4606,9d11eb3d6cd066241d86a9362a40378ff9cef54ae314436bd3c21e82eca7bb18,,20efdd44236de55813b0605a43fc02f4788f1d8a58023108788bee98ff2edfd2,e38f6d7cabd7e647c0acf2af15470bc6c27838431e7276dfd79f6063d2b6ab34,20efdd44236de55813b0605a43fc02f4788f1d8a58023108788bee98ff2edfd2,dba0fecae125840b948eaa24b8b32ac7fbeff5a35e29987f4a9b2fd73b2bc328,,,2024-02-20 06:56:36.335189+00,s12_protobuf_documents_documentevent,d0381fe6f67e643e1012b1fa70682a8afbb7e13f2ae8be682feed59e46ba4606,api-user-documents,7f37bcc3f45c7c43117d1d11b32ffa30f411adc08e091d566058ea52b8ab1792,2024-02-20,2024-02-21 4:01:24,,,,DOCUMENT_DELETED
36fd231312d75ea9133fccb0da97c59598f97c5dacba99e3fa5bc7d1655d1feb,NzkyZTFhMWMtOTRjYS00N2ZiLWIwMjUtMWU2Y2Q0NTA3YTZi,51294731,23,us-east-1,1708412196396,,,d0381fe6f67e643e1012b1fa70682a8afbb7e13f2ae8be682feed59e46ba4606,9d11eb3d6cd066241d86a9362a40378ff9cef54ae314436bd3c21e82eca7bb18,1a887be8b704da1aefc9f9d116137dc756b3d092834bcc6f3c507655d03c22b1,20efdd44236de55813b0605a43fc02f4788f1d8a58023108788bee98ff2edfd2,e38f6d7cabd7e647c0acf2af15470bc6c27838431e7276dfd79f6063d2b6ab34,20efdd44236de55813b0605a43fc02f4788f1d8a58023108788bee98ff2edfd2,dba0fecae125840b948eaa24b8b32ac7fbeff5a35e29987f4a9b2fd73b2bc328,,,2024-02-20 06:56:36.396561+00,s12_protobuf_documents_documentevent,d0381fe6f67e643e1012b1fa70682a8afbb7e13f2ae8be682feed59e46ba4606,api-user-documents,7f37bcc3f45c7c43117d1d11b32ffa30f411adc08e091d566058ea52b8ab1792,2024-02-20,2024-02-21 4:01:24,,,[ad422274-6fa3-41ca-a444-17f1465150ac],MEDIA_DELETED_FROM_DOCUMENT
76918ec604e7742df8223e1eb36cb0b3d28f493479603c7bdba3a86bdc73e128,NmJiZmIyNGMtYWQ5Ni00ZDZlLTk2NjUtNzZiOTNmYzdlZGEy,51268161,8,us-east-1,1708388376256,,,639a3fde054fc8d213d14c5fa134464e62e5ae157aee0671c9fd571b7a026bae,21209138897c6c8b1b3e79e54d5b9a4621498d72919eb21edf331270cf7f5fdc,372079cca775bdb193421417904959edccc46f8ec5968eb3d062cb6e9a22c4e5,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,,,2024-02-20 00:19:36.214836+00,s12_protobuf_documents_documentevent,639a3fde054fc8d213d14c5fa134464e62e5ae157aee0671c9fd571b7a026bae,api-user-documents,0dcdc1e1a783196a5361def45bc33c70373f07c2f9aca045291048cc45be2ac1,2024-02-20,2024-02-21 4:01:24,,,[3f1b42e7-4000-403a-86ec-bdab6a91725a],DOCUMENT_CREATED
76918ec604e7742df8223e1eb36cb0b3d28f493479603c7bdba3a86bdc73e128,NmJiZmIyNGMtYWQ5Ni00ZDZlLTk2NjUtNzZiOTNmYzdlZGEy,51268168,8,us-east-1,1708388380239,,,639a3fde054fc8d213d14c5fa134464e62e5ae157aee0671c9fd571b7a026bae,21209138897c6c8b1b3e79e54d5b9a4621498d72919eb21edf331270cf7f5fdc,372079cca775bdb193421417904959edccc46f8ec5968eb3d062cb6e9a22c4e5,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,,,2024-02-20 00:19:40.218458+00,s12_protobuf_documents_documentevent,639a3fde054fc8d213d14c5fa134464e62e5ae157aee0671c9fd571b7a026bae,api-user-documents,0dcdc1e1a783196a5361def45bc33c70373f07c2f9aca045291048cc45be2ac1,2024-02-20,2024-02-21 4:01:24,,,[3f1b42e7-4000-403a-86ec-bdab6a91725a],MEDIA_DELETED_FROM_DOCUMENT
76918ec604e7742df8223e1eb36cb0b3d28f493479603c7bdba3a86bdc73e128,NmJiZmIyNGMtYWQ5Ni00ZDZlLTk2NjUtNzZiOTNmYzdlZGEy,51268172,8,us-east-1,1708388381040,,,639a3fde054fc8d213d14c5fa134464e62e5ae157aee0671c9fd571b7a026bae,21209138897c6c8b1b3e79e54d5b9a4621498d72919eb21edf331270cf7f5fdc,,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,,,2024-02-20 00:19:41.040499+00,s12_protobuf_documents_documentevent,639a3fde054fc8d213d14c5fa134464e62e5ae157aee0671c9fd571b7a026bae,api-user-documents,0dcdc1e1a783196a5361def45bc33c70373f07c2f9aca045291048cc45be2ac1,2024-02-20,2024-02-21 4:01:24,,,,DOCUMENT_DELETED
76918ec604e7742df8223e1eb36cb0b3d28f493479603c7bdba3a86bdc73e128,MmRmMWU0NWMtYjMzYi00ZDgzLThiZTYtYTJjNWFmODBmNGFh,51253680,23,us-east-1,1708390009532,,,c3044b1ebe0543a408b70b1b4802157bfdcb09a557eb2a212494af56a5ca8453,299acbd05750ab75d646486537bbb2696a71ac68675f4d596a8d19d39ff4f91b,eb5da8af79294df2d710d0bf6374c82c9c9d402c79d96e0f463679b699b7a0f2,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,,,2024-02-20 00:46:49.510717+00,s12_protobuf_documents_documentevent,c3044b1ebe0543a408b70b1b4802157bfdcb09a557eb2a212494af56a5ca8453,api-user-documents,0dcdc1e1a783196a5361def45bc33c70373f07c2f9aca045291048cc45be2ac1,2024-02-20,2024-02-21 4:01:24,,,[a1e56d21-de71-478c-8588-6cc8dc6515a6],DOCUMENT_CREATED
