organisation_hk,organisation_id,organisation_date_sk,subscription_date_sk,report_date,total_monthly_active_user_count,paid_monthly_active_user_count,full_monthly_active_user_count,lite_monthly_active_user_count,free_monthly_active_user_count,inspections_paid_monthly_active_user_count,actions_paid_monthly_active_user_count,issues_paid_monthly_active_user_count,heads_up_paid_monthly_active_user_count,training_paid_monthly_active_user_count,assets_paid_monthly_active_user_count,two_product_paid_monthly_active_user_count,inspections_free_monthly_active_user_count,actions_free_monthly_active_user_count,issues_free_monthly_active_user_count,heads_up_free_monthly_active_user_count,training_free_monthly_active_user_count,assets_free_monthly_active_user_count,two_product_free_monthly_active_user_count,total_chargify_component_type_count,total_user_count,free_user_count,paid_user_count,full_user_count,lite_user_count,total_action_count,total_action_completed_count,total_issue_count,total_issue_resolved_count,total_heads_up_count,total_published_heads_up_count,total_heads_up_view_count,commenced_inspection_count,commenced_inspection_deleted_count,completed_inspection_count,completed_inspection_deleted_count,total_created_templates,total_created_templates_deleted,total_reports_interacted_count,total_reports_shared_count,total_reports_exported_count,total_analytics_event_count,total_active_analytics_event_count,total_passive_analytics_event_count,total_api_call_count,total_site_count,total_site_with_member_count,total_activated_hardware_sensor_count,total_activated_weather_sensor_count,total_deactivated_hardware_sensor_count,total_deactivated_weather_sensor_count,total_active_asset_count,total_archive_asset_count,total_seat_count,change_total_seat_count,total_paid_seat_count,total_full_seat_count,total_free_seat_count,total_lite_seat_count,total_action_only_seat_count,total_issue_or_action_only_seat_count,total_issue_only_seat_count,total_extra_devices_count,total_schedule_count,total_support_conversation_count,total_actionable_support_conversation_count
db794a55e1c87a9e5c46020b363e5eb8,b22383814172123bf7b9f16388bfac8c86c74a99caa8b4ad253a0b7ffe26ae26,36745f7003abb7f9443ca35ea804604a,57f7f048cc6da8ba3b5b433c3bd2be21,2024-02-14,7,7,6,1,0,7,2,0,0,0,1,2,0,0,0,0,0,0,0,1,9,1,8,7,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,81,10,8,0,8,7,0,1,0,0,0,0,0,0,0
db794a55e1c87a9e5c46020b363e5eb8,b22383814172123bf7b9f16388bfac8c86c74a99caa8b4ad253a0b7ffe26ae26,c45a1547e7cd52ac85524962304394d6,6fee1ae81cc806c17be700df794edc10,2024-02-16,7,7,6,1,0,7,2,0,0,0,1,2,0,0,0,0,0,0,0,1,9,1,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,10,8,0,8,7,0,1,0,0,0,0,0,0,0
d23f778954435b793d2119f19358f3b0,1c7b93fdd59bdadf7371ee9af953182343442b790f670436eb637eff7e6b1d96,30f97fcef17111572233b435f2a994bb,2ef4d9ff3d5300675427594d481ba421,2024-02-16,22,22,22,0,0,13,10,0,0,16,2,11,0,0,0,0,0,0,0,1,40,2,38,38,0,3,0,0,0,0,0,0,1,0,0,0,0,0,26,0,0,9,3,6,0,0,0,0,2,0,0,43,0,40,0,40,40,0,0,0,0,0,0,0,0,0
647bd3a2df37869de0129e54c19432c9,3e70e0b5e4fe531a46b64dbb0fd51b2590629f900730941ea4bb74be4ffccd71,95b4f3878472d64be03df6d18f839406,3506afd231419c964fc700e1d9c4caf3,2024-02-17,56,50,50,0,7,45,21,9,33,0,38,41,3,1,1,4,0,1,3,1,75,23,53,53,0,2,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,158,18,101,0,101,101,0,0,0,0,0,0,0,0,0
e57e52d82d1c6a65b1f21f06ed7e2c9d,49a7b01a269bf2ed819b88935e92b61b16f6f6cf0b2a9cb6c77e8b5b7eea1ae6,b835aa7798071a7899240d4951552fc1,ba19b9b859efcd83b661e62d14ebf2e7,2024-02-20,9,8,8,0,1,7,2,1,5,5,7,8,1,0,0,0,0,0,0,1,13,3,10,10,0,0,2,0,1,2,2,6,11,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,18,0,30,0,30,30,0,0,0,0,0,0,0,0,0
886294830157050ed3bd472195de3563,21702b899af8a40fe8252d35c86429c4d4d70a2e71ae8c41793352483e146c07,936ebc7eb24dfab2252d186d2b22093d,b0dde1d2c0f4afed84d0ae298538fad2,2024-02-16,36,30,23,7,6,14,10,9,30,5,13,20,0,0,0,6,0,0,0,1,51,15,36,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,1,2,1,1,273,0,41,0,41,31,0,10,0,0,0,0,0,0,0
886294830157050ed3bd472195de3563,21702b899af8a40fe8252d35c86429c4d4d70a2e71ae8c41793352483e146c07,45486f5c88bf81bef7997925ed692724,878c1fa793ddee6062bf05cd633b4ac5,2024-02-17,36,31,24,7,5,14,10,9,31,5,13,20,0,0,0,5,0,0,0,1,51,15,37,28,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,1,2,1,1,273,0,41,0,41,31,0,10,0,0,0,0,0,0,0
1ec7941340ab6766f16a8db7fa7143e4,226a10838b71d401c97892d680aadddcef20579c29c0050d8f0aac283b4ec9c8,b9ba703338ed3ca0f72f92cd2347bfe4,a51d7dc3c74ab7f168cd98574e241f04,2024-02-18,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,2,0,0,0,0,0,0,0,0
f3450574dd41a074621d219a8df08970,84f556f9e1d4a18f166cb1b0f7601deaeef8f6afc0cea84c95c9e37776d7b33d,219cb7fde71b2ee116928af7e2db141d,60d4403f28052d00e6fc714d3240762f,2024-02-19,6,5,5,0,1,5,4,1,0,0,1,4,0,0,1,0,0,0,0,1,8,3,5,5,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,5,0,5,5,0,0,0,0,0,0,0,0,0
2f12f842b7bfda32fc16826a6d6994e1,ca250de8ec6b7c3792dabb262f5a59ca5748fcdfdd612f9ab4e87b2b2829d71b,182ad8c1d346296930d41947de09bcf2,29271470d379fc9aca2ad3747a17ccf0,2024-02-15,26,26,18,8,0,8,10,9,19,21,2,18,0,0,0,0,0,0,0,1,29,1,28,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,9,0,0,0,4,1,0,0,106,4,30,0,30,20,0,10,0,0,0,0,0,0,0
